,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
12,2023.02.01,SK아이이테크놀로지,"67,900",900,+1.34%,"233,830","-5,555","-31,533","5,927,514",8.31%
13,2023.02.02,SK아이이테크놀로지,"73,400","5,500",+8.10%,"916,148","+169,114","+187,034","6,116,033",8.58%
14,2023.02.03,SK아이이테크놀로지,"72,100","1,300",-1.77%,"448,302","+25,053","-91,603","5,869,730",8.23%
15,2023.02.06,SK아이이테크놀로지,"72,100",0,0.00%,"412,248","+30,539","-77,281","5,941,049",8.33%
16,2023.02.07,SK아이이테크놀로지,"73,500","1,400",+1.94%,"1,671,055","-1,180","-14,929","5,926,120",8.31%
17,2023.02.08,SK아이이테크놀로지,"70,100","3,400",-4.63%,"1,042,421","-82,853","-387,599","5,598,521",7.85%
18,2023.02.09,SK아이이테크놀로지,"70,100",0,0.00%,"476,297","-34,246","-76,886","5,591,635",7.84%
32,2023.02.01,HMM,"22,500",750,+3.45%,"2,219,428","+146,035","+214,664","50,865,244",10.40%
33,2023.02.02,HMM,"22,400",100,-0.44%,"1,714,888","-109,347","-212,057","50,774,342",10.38%
34,2023.02.03,HMM,"22,600",200,+0.89%,"1,472,496","+40,284","+256,932","50,995,274",10.43%
35,2023.02.06,HMM,"21,850",750,-3.32%,"1,366,824","-156,451","-272,219","50,743,055",10.38%
36,2023.02.07,HMM,"21,950",100,+0.46%,"1,143,188","-63,558","+103,038","50,886,093",10.41%
37,2023.02.08,HMM,"22,050",100,+0.46%,"849,722","+80,207","+44,520","50,989,499",10.43%
38,2023.02.09,HMM,"21,700",350,-1.59%,"1,136,894","-124,189","-31,261","51,069,238",10.44%
52,2023.02.01,콤텍시스템,756,4,-0.53%,"2,114,069",+46,"-272,837","2,079,377",1.72%
53,2023.02.02,콤텍시스템,806,50,+6.61%,"7,342,325","-23,787","+185,741","2,265,118",1.87%
54,2023.02.03,콤텍시스템,782,24,-2.98%,"18,168,616","-8,610","-384,004","1,881,114",1.55%
55,2023.02.06,콤텍시스템,883,101,+12.92%,"84,480,769","+21,426","-92,560","1,788,554",1.48%
56,2023.02.07,콤텍시스템,895,12,+1.36%,"15,978,103","+119,060","-317,187","1,471,367",1.22%
57,2023.02.08,콤텍시스템,895,0,0.00%,"6,407,999","-36,482","+62,570","1,533,937",1.27%
58,2023.02.09,콤텍시스템,887,8,-0.89%,"6,228,445","-200,378","-272,016","1,261,921",1.04%
72,2023.02.01,쏠리드,"6,060",210,+3.59%,"798,146","+4,769","+252,583","3,236,799",5.29%
73,2023.02.02,쏠리드,"6,080",20,+0.33%,"460,321","-7,953","-24,409","3,212,390",5.25%
74,2023.02.03,쏠리드,"6,110",30,+0.49%,"758,888","+3,168","-87,056","3,125,334",5.10%
75,2023.02.06,쏠리드,"5,910",200,-3.27%,"601,866","-137,992","-132,853","2,992,481",4.89%
76,2023.02.07,쏠리드,"6,040",130,+2.20%,"448,076","-91,774","+158,371","3,150,852",5.15%
77,2023.02.08,쏠리드,"6,050",10,+0.17%,"461,952","-58,810","+68,684","3,219,536",5.26%
78,2023.02.09,쏠리드,"6,250",200,+3.31%,"1,377,743","-78,343","+241,492","3,461,028",5.65%
92,2023.02.01,한미글로벌,"30,200",400,-1.31%,"434,883",+320,"+2,112","124,415",1.14%
93,2023.02.02,한미글로벌,"31,000",800,+2.65%,"824,230","-5,075",-151,"124,264",1.13%
94,2023.02.03,한미글로벌,"30,650",350,-1.13%,"193,110",+795,"+2,565","126,829",1.16%
95,2023.02.06,한미글로벌,"29,500","1,150",-3.75%,"383,186","-36,052","-15,916","110,913",1.01%
96,2023.02.07,한미글로벌,"29,600",100,+0.34%,"262,842","+5,770","+3,121","114,034",1.04%
97,2023.02.08,한미글로벌,"29,650",50,+0.17%,"281,817",+750,"-4,308","109,726",1.00%
98,2023.02.09,한미글로벌,"28,850",800,-2.70%,"312,321",-86,"+4,900","114,626",1.05%
112,2023.02.01,진양홀딩스,"3,210",30,+0.94%,"48,499",-9,"+1,120","1,106,694",1.98%
113,2023.02.02,진양홀딩스,"3,270",60,+1.87%,"46,204","+13,782","+1,493","1,108,187",1.98%
114,2023.02.03,진양홀딩스,"3,275",5,+0.15%,"28,838","+11,353","-3,426","1,104,761",1.98%
115,2023.02.06,진양홀딩스,"3,295",20,+0.61%,"32,577","+12,229",-410,"1,104,351",1.98%
116,2023.02.07,진양홀딩스,"3,300",5,+0.15%,"24,678","+2,746","-2,210","1,102,141",1.97%
117,2023.02.08,진양홀딩스,"3,310",10,+0.30%,"23,074",+40,"-1,458","1,100,683",1.97%
118,2023.02.09,진양홀딩스,"3,270",40,-1.21%,"36,567","+14,171",-19,"1,100,664",1.97%
132,2023.02.01,위메이드,"38,050",950,-2.44%,"820,309","-29,030","-238,861","1,687,776",4.99%
133,2023.02.02,위메이드,"39,150","1,100",+2.89%,"1,049,287","+97,371","+116,861","1,790,979",5.30%
134,2023.02.03,위메이드,"44,500","5,350",+13.67%,"5,524,077","-8,040","+45,097","1,803,364",5.34%
135,2023.02.06,위메이드,"45,700","1,200",+2.70%,"3,652,612","+54,060","-352,875","1,375,689",4.07%
136,2023.02.07,위메이드,"46,100",400,+0.88%,"937,131","-25,536","+100,301","1,478,196",4.37%
137,2023.02.08,위메이드,"44,600","1,500",-3.25%,"904,638","-16,707","-77,585","1,423,611",4.21%
138,2023.02.09,위메이드,"43,750",850,-1.91%,"1,048,479","-40,901","-40,287","1,425,900",4.22%
152,2023.02.01,링크제니시스,"7,170",270,-3.63%,"226,336",0,"+6,467","196,938",1.72%
153,2023.02.02,링크제니시스,"7,210",40,+0.56%,"117,268",0,"+22,001","218,939",1.91%
154,2023.02.03,링크제니시스,"7,200",10,-0.14%,"113,169",0,"+30,327","249,266",2.17%
155,2023.02.06,링크제니시스,"7,650",450,+6.25%,"441,575",0,"+14,025","263,291",2.30%
156,2023.02.07,링크제니시스,"7,550",100,-1.31%,"215,757",0,"-37,141","226,150",1.97%
157,2023.02.08,링크제니시스,"7,600",50,+0.66%,"198,277",0,"+12,624","238,774",2.08%
158,2023.02.09,링크제니시스,"7,750",150,+1.97%,"577,488","+4,353","-7,147","231,627",2.02%
172,2023.02.01,삼성전자우,"56,100","1,100",+2.00%,"1,111,460","-79,649","+97,673","593,014,018",72.07%
173,2023.02.02,삼성전자우,"56,800",700,+1.25%,"1,245,091","+147,386","-369,156","592,694,317",72.03%
174,2023.02.03,삼성전자우,"57,100",300,+0.53%,"852,866","+93,568","+57,461","592,476,078",72.00%
175,2023.02.06,삼성전자우,"55,400","1,700",-2.98%,"717,298",+804,"-312,205","592,206,873",71.97%
176,2023.02.07,삼성전자우,"55,500",100,+0.18%,"828,078","+11,904","-284,924","591,921,949",71.93%
177,2023.02.08,삼성전자우,"57,000","1,500",+2.70%,"1,037,633","-34,727","+598,149","592,329,098",71.98%
178,2023.02.09,삼성전자우,"56,800",200,-0.35%,"701,308","-7,152","-58,834","592,466,264",72.00%
192,2023.02.01,한국조선해양,"80,200",600,+0.75%,"262,515","+14,613","-28,336","14,125,916",19.96%
193,2023.02.02,한국조선해양,"79,400",800,-1.00%,"216,563","-11,994","-58,515","14,069,966",19.88%
194,2023.02.03,한국조선해양,"83,000","3,600",+4.53%,"365,140","+84,854","+44,992","14,049,958",19.85%
195,2023.02.06,한국조선해양,"81,500","1,500",-1.81%,"335,292","+13,862","-76,130","13,973,828",19.74%
196,2023.02.07,한국조선해양,"79,900","1,600",-1.96%,"240,472","+17,580","-68,179","13,905,649",19.65%
197,2023.02.08,한국조선해양,"79,600",300,-0.38%,"214,148","+1,297","-28,187","13,877,462",19.61%
198,2023.02.09,한국조선해양,"80,800","1,200",+1.51%,"241,733","+2,607","+8,404","13,885,866",19.62%
212,2023.02.01,한화솔루션,"46,050",700,+1.54%,"937,897","-67,787","+43,522","50,284,032",26.29%
213,2023.02.02,한화솔루션,"46,600",550,+1.19%,"2,045,241","+154,020","-248,685","50,052,034",26.17%
214,2023.02.03,한화솔루션,"46,500",100,-0.21%,"1,514,790","-46,300","-95,777","49,956,257",26.12%
215,2023.02.06,한화솔루션,"46,750",250,+0.54%,"1,385,099","+9,919","+148,084","50,104,341",26.19%
216,2023.02.07,한화솔루션,"47,150",400,+0.86%,"1,107,938","-39,530","+107,137","50,188,478",26.24%
217,2023.02.08,한화솔루션,"46,700",450,-0.95%,"1,186,172","-148,288","-16,851","50,172,386",26.23%
218,2023.02.09,한화솔루션,"47,750","1,050",+2.25%,"1,828,530","+186,658","+243,211","50,361,235",26.33%
232,2023.02.01,SKC,"97,400","2,200",+2.31%,"152,090","-7,864","+17,036","5,391,052",14.24%
233,2023.02.02,SKC,"98,700","1,300",+1.33%,"190,765","+14,108",+659,"5,390,280",14.23%
234,2023.02.03,SKC,"98,200",500,-0.51%,"116,128","+18,992","-12,667","5,373,417",14.19%
235,2023.02.06,SKC,"96,200","2,000",-2.04%,"146,110","-19,449","+2,805","5,268,321",13.91%
236,2023.02.07,SKC,"100,100","3,900",+4.05%,"410,816","+2,979","+14,096","5,292,417",13.98%
237,2023.02.08,SKC,"95,800","4,300",-4.30%,"428,511","-82,146","-153,174","5,139,243",13.57%
238,2023.02.09,SKC,"96,100",300,+0.31%,"212,405","-56,714","+22,817","5,162,060",13.63%
252,2023.02.01,SK텔레콤,"46,150",450,-0.97%,"1,293,853","-27,683","-474,420","98,301,439",44.92%
253,2023.02.02,SK텔레콤,"46,300",150,+0.33%,"811,402","-2,791","-125,315","98,176,124",44.86%
254,2023.02.03,SK텔레콤,"46,350",50,+0.11%,"708,779","-1,975","-123,099","98,053,025",44.81%
255,2023.02.06,SK텔레콤,"46,250",100,-0.22%,"1,058,025","-50,229","-85,811","97,967,214",44.77%
256,2023.02.07,SK텔레콤,"46,700",450,+0.97%,"988,691","-9,729","+62,294","98,029,508",44.80%
257,2023.02.08,SK텔레콤,"46,700",0,0.00%,"1,022,527","-27,669","-76,294","97,953,214",44.76%
258,2023.02.09,SK텔레콤,"46,700",0,0.00%,"3,569,972","+146,906","-461,196","97,492,018",44.55%
272,2023.02.01,LG화학,"688,000","2,000",-0.29%,"282,102","-1,122","-16,831","34,253,917",48.52%
273,2023.02.02,LG화학,"676,000","12,000",-1.74%,"275,597","-18,426","-48,892","34,207,995",48.46%
274,2023.02.03,LG화학,"674,000","2,000",-0.30%,"211,018","-28,311","+7,000","34,214,995",48.47%
275,2023.02.06,LG화학,"658,000","16,000",-2.37%,"169,927","-17,061","-11,812","34,203,183",48.45%
276,2023.02.07,LG화학,"681,000","23,000",+3.50%,"241,408","+5,528","+45,956","34,229,339",48.49%
277,2023.02.08,LG화학,"672,000","9,000",-1.32%,"134,248","-6,884","-15,716","34,213,623",48.47%
278,2023.02.09,LG화학,"680,000","8,000",+1.19%,"206,970","+1,550","+33,686","34,247,309",48.51%
292,2023.02.01,웹케시,"15,840",60,+0.38%,"14,438",+8,-97,"2,345,618",17.01%
293,2023.02.02,웹케시,"15,940",100,+0.63%,"16,804",-727,+781,"2,346,399",17.02%
294,2023.02.03,웹케시,"15,960",20,+0.13%,"15,589",-395,"+1,172","2,347,571",17.03%
295,2023.02.06,웹케시,"15,780",180,-1.13%,"9,199",+2,"-1,007","2,346,564",17.02%
296,2023.02.07,웹케시,"15,700",80,-0.51%,"13,767","+3,003",-277,"2,346,287",17.02%
297,2023.02.08,웹케시,"16,340",640,+4.08%,"132,605","-12,052","-16,066","2,330,221",16.90%
298,2023.02.09,웹케시,"17,330",990,+6.06%,"410,868",-799,"-63,877","2,266,344",16.44%
312,2023.02.01,엔에프씨,"9,350",10,+0.11%,"8,757",0,"+1,049","66,665",0.75%
313,2023.02.02,엔에프씨,"9,420",70,+0.75%,"20,971",0,"+6,122","72,787",0.81%
314,2023.02.03,엔에프씨,"9,450",30,+0.32%,"12,554",0,-166,"72,621",0.81%
315,2023.02.06,엔에프씨,"9,910",460,+4.87%,"599,385",0,"-35,879","36,742",0.41%
316,2023.02.07,엔에프씨,"9,970",60,+0.61%,"53,723",0,"+6,075","42,817",0.48%
317,2023.02.08,엔에프씨,"9,940",30,-0.30%,"20,093",0,-600,"42,217",0.47%
318,2023.02.09,엔에프씨,"10,000",60,+0.60%,"23,443",+500,-60,"42,157",0.47%
321,2023.02.01,코오롱모빌리티그룹,"5,660",785,+16.10%,"29,045,623","-156,667","-261,441","1,645,333",2.62%
322,2023.02.02,코오롱모빌리티그룹,"5,140",520,-9.19%,"7,184,618","-1,599","-241,147","1,404,186",2.24%
323,2023.02.03,코오롱모빌리티그룹,"5,560",420,+8.17%,"33,550,369","-10,173","-195,019","1,209,167",1.93%
324,2023.02.06,코오롱모빌리티그룹,"6,930","1,370",+24.64%,"45,676,950","-19,137","-139,328","1,069,945",1.70%
325,2023.02.07,코오롱모빌리티그룹,"7,240",310,+4.47%,"26,277,658","+9,117","+26,284","1,096,229",1.75%
326,2023.02.08,코오롱모빌리티그룹,"6,900",340,-4.70%,"8,815,384","-39,378","-10,790","1,085,439",1.73%
327,2023.02.09,코오롱모빌리티그룹,"6,620",280,-4.06%,"6,797,109","-4,441","+10,341","1,095,780",1.75%
341,2023.02.01,미투젠,"12,870",30,+0.23%,"17,660",0,"-2,364","1,875,378",13.81%
342,2023.02.02,미투젠,"13,050",180,+1.40%,"20,358",0,"+1,985","1,877,363",13.82%
343,2023.02.03,미투젠,"13,400",350,+2.68%,"71,315","-1,344",+739,"1,878,102",13.83%
344,2023.02.06,미투젠,"13,430",30,+0.22%,"15,398",0,"-1,700","1,876,402",13.82%
345,2023.02.07,미투젠,"13,570",140,+1.04%,"24,888",0,"-1,400","1,875,002",13.81%
346,2023.02.08,미투젠,"13,690",120,+0.88%,"24,958",0,-187,"1,874,815",13.81%
347,2023.02.09,미투젠,"13,670",20,-0.15%,"17,327",0,"-1,592","1,873,223",13.79%
361,2023.02.01,포스코케미칼,"223,500",500,-0.22%,"1,520,474","+19,983","+64,021","6,023,814",7.78%
362,2023.02.02,포스코케미칼,"224,000",500,+0.22%,"898,161","-16,782","+33,194","6,058,452",7.82%
363,2023.02.03,포스코케미칼,"227,500","3,500",+1.56%,"1,124,018","-20,552","+40,812","6,074,264",7.84%
364,2023.02.06,포스코케미칼,"225,500","2,000",-0.88%,"866,264","-9,533","-90,636","6,012,728",7.76%
365,2023.02.07,포스코케미칼,"228,000","2,500",+1.11%,"853,689","-30,493","+101,869","6,094,597",7.87%
366,2023.02.08,포스코케미칼,"225,500","2,500",-1.10%,"736,445","-45,480","-97,150","5,989,747",7.73%
367,2023.02.09,포스코케미칼,"242,500","17,000",+7.54%,"2,242,998","-54,102","+291,174","6,280,921",8.11%
381,2023.02.01,현대차,"170,000","3,000",+1.80%,"599,556","+37,977","+35,027","62,391,726",29.20%
382,2023.02.02,현대차,"169,900",100,-0.06%,"548,264","+6,239","+10,375","62,407,278",29.21%
383,2023.02.03,현대차,"172,800","2,900",+1.71%,"770,290","+112,491","+217,950","62,645,062",29.32%
384,2023.02.06,현대차,"170,700","2,100",-1.22%,"582,407","-84,369","+46,636","62,691,698",29.34%
385,2023.02.07,현대차,"170,500",200,-0.12%,"533,337","-17,152","-28,056","62,663,642",29.33%
386,2023.02.08,현대차,"172,700","2,200",+1.29%,"442,701","+58,252","+63,707","62,714,210",29.35%
387,2023.02.09,현대차,"172,600",100,-0.06%,"583,923","-40,961","+118,565","62,875,914",29.43%
401,2023.02.01,KT&G,"92,500",0,0.00%,"285,032","-7,758","+8,595","60,376,059",43.98%
402,2023.02.02,KT&G,"92,000",500,-0.54%,"367,570","-106,423","+85,275","60,447,649",44.03%
403,2023.02.03,KT&G,"92,800",800,+0.87%,"277,906","-20,465","+55,189","60,502,838",44.07%
404,2023.02.06,KT&G,"91,600","1,200",-1.29%,"230,992","-48,946","+39,862","60,542,700",44.10%
405,2023.02.07,KT&G,"90,900",700,-0.76%,"271,827","-112,504","+69,367","60,612,067",44.15%
406,2023.02.08,KT&G,"91,500",600,+0.66%,"167,003","-26,586","+37,851","60,649,918",44.18%
407,2023.02.09,KT&G,"90,000","1,500",-1.64%,"387,380","-95,947","+7,517","60,657,435",44.18%
421,2023.02.01,AP위성,"14,820","3,420",+30.00%,"9,587,341","+85,809","+14,118","149,593",0.99%
422,2023.02.02,AP위성,"15,750",930,+6.28%,"10,543,405","-18,308","+27,054","176,647",1.17%
423,2023.02.03,AP위성,"15,520",230,-1.46%,"2,444,127","-5,362","-65,460","111,187",0.74%
424,2023.02.06,AP위성,"15,640",120,+0.77%,"7,315,807","+80,726","-52,380","58,807",0.39%
425,2023.02.07,AP위성,"16,400",760,+4.86%,"3,384,694","+127,354","+41,964","100,771",0.67%
426,2023.02.08,AP위성,"16,370",30,-0.18%,"1,632,421","+92,456","-8,106","92,665",0.61%
427,2023.02.09,AP위성,"16,390",20,+0.12%,"3,086,299","+4,699","-30,667","61,998",0.41%
441,2023.02.01,마인즈랩,"27,200",200,+0.74%,"5,643,804","+4,654","-20,053","63,076",1.04%
442,2023.02.02,마인즈랩,"27,200",0,0.00%,"1,521,068","-17,596","+2,509","65,585",1.08%
443,2023.02.03,마인즈랩,"26,350",850,-3.12%,"2,341,437","+3,834","-10,623","54,962",0.90%
444,2023.02.06,마인즈랩,"29,150","2,800",+10.63%,"6,089,250","-13,708","-8,304","46,658",0.77%
445,2023.02.07,마인즈랩,"28,550",600,-2.06%,"2,688,546","-159,783","+7,912","54,570",0.90%
446,2023.02.08,마인즈랩,"27,450","1,100",-3.85%,"1,053,792","-17,587","-4,436","50,134",0.82%
447,2023.02.09,마인즈랩,"26,350","1,100",-4.01%,"845,641","-16,694","+23,286","73,420",1.21%
461,2023.02.01,서린바이오,"12,130",310,+2.62%,"64,807",0,"+28,856","149,163",1.75%
462,2023.02.02,서린바이오,"12,430",300,+2.47%,"231,446",+1,"-11,562","137,601",1.62%
463,2023.02.03,서린바이오,"12,350",80,-0.64%,"58,368",-1,"-1,509","136,092",1.60%
464,2023.02.06,서린바이오,"12,300",50,-0.40%,"65,245",0,"-2,279","133,813",1.57%
465,2023.02.07,서린바이오,"12,420",120,+0.98%,"61,913",+1,"+7,226","141,039",1.66%
466,2023.02.08,서린바이오,"12,400",20,-0.16%,"44,784",0,"-6,903","134,136",1.58%
467,2023.02.09,서린바이오,"12,290",110,-0.89%,"37,007",0,"-2,410","131,726",1.55%
481,2023.02.01,NAVER,"205,500","3,000",+1.48%,"860,204","-45,444","-9,822","79,226,855",48.29%
482,2023.02.02,NAVER,"211,500","6,000",+2.92%,"1,245,591","+185,481","-159,722","79,091,008",48.21%
483,2023.02.03,NAVER,"223,500","12,000",+5.67%,"3,065,767","+412,031","-183,733","78,922,275",48.11%
484,2023.02.06,NAVER,"215,500","8,000",-3.58%,"1,390,741","-2,869","-416,669","78,505,606",47.85%
485,2023.02.07,NAVER,"219,500","4,000",+1.86%,"1,041,746","+34,914","-103,900","78,424,706",47.81%
486,2023.02.08,NAVER,"230,500","11,000",+5.01%,"1,777,709","+265,119","+10,819","78,435,525",47.81%
487,2023.02.09,NAVER,"230,000",500,-0.22%,"1,575,905","-71,591","-237,819","78,204,706",47.67%
501,2023.02.01,삼성바이오로직스,"804,000","11,000",+1.39%,"75,059","+5,710","-3,211","7,592,040",10.67%
502,2023.02.02,삼성바이오로직스,"812,000","8,000",+1.00%,"64,570","+4,412","+18,676","7,611,793",10.69%
503,2023.02.03,삼성바이오로직스,"811,000","1,000",-0.12%,"47,233","+4,476","+1,816","7,606,234",10.69%
504,2023.02.06,삼성바이오로직스,"807,000","4,000",-0.49%,"45,588","+3,051","-3,093","7,598,363",10.68%
505,2023.02.07,삼성바이오로직스,"813,000","6,000",+0.74%,"44,885",+471,"+4,206","7,599,278",10.68%
506,2023.02.08,삼성바이오로직스,"816,000","3,000",+0.37%,"41,855","+4,906","+5,430","7,600,318",10.68%
507,2023.02.09,삼성바이오로직스,"814,000","2,000",-0.25%,"41,262","-1,207","+5,558","7,608,976",10.69%
521,2023.02.01,타이거일렉,"20,700",100,-0.48%,"11,327",+28,"-3,271","814,035",12.89%
522,2023.02.02,타이거일렉,"20,250",450,-2.17%,"14,118",-87,"-3,864","810,171",12.83%
523,2023.02.03,타이거일렉,"20,500",250,+1.23%,"6,831",0,+337,"810,508",12.84%
524,2023.02.06,타이거일렉,"20,450",50,-0.24%,"2,931",0,+216,"810,724",12.84%
525,2023.02.07,타이거일렉,"20,350",100,-0.49%,"3,688",+1,+27,"810,751",12.84%
526,2023.02.08,타이거일렉,"20,450",100,+0.49%,"5,621",+200,+700,"811,451",12.85%
527,2023.02.09,타이거일렉,"20,500",50,+0.24%,"15,209",0,"-1,651","809,800",12.82%
541,2023.02.01,SK하이닉스,"91,400","2,900",+3.28%,"3,889,171","-130,764","+783,476","370,296,678",50.86%
542,2023.02.02,SK하이닉스,"93,400","2,000",+2.19%,"4,350,607","-252,523","+1,241,576","371,521,104",51.03%
543,2023.02.03,SK하이닉스,"92,200","1,200",-1.28%,"2,925,123","-410,755","+237,227","371,750,369",51.06%
544,2023.02.06,SK하이닉스,"89,100","3,100",-3.36%,"2,819,903","-408,050","-199,645","371,521,536",51.03%
545,2023.02.07,SK하이닉스,"90,800","1,700",+1.91%,"2,166,265","-168,411","+502,616","372,023,804",51.10%
546,2023.02.08,SK하이닉스,"94,900","4,100",+4.52%,"3,964,981","-155,903","+1,947,190","373,960,994",51.37%
547,2023.02.09,SK하이닉스,"94,400",500,-0.53%,"2,726,568","-106,523","-16,637","373,842,231",51.35%
561,2023.02.01,카카오,"62,200",800,+1.30%,"1,582,425","-409,931","+263,563","117,728,263",26.43%
562,2023.02.02,카카오,"64,500","2,300",+3.70%,"2,936,610","+496,543","+372,906","118,119,889",26.52%
563,2023.02.03,카카오,"67,200","2,700",+4.19%,"5,019,685","+670,929","+194,464","118,314,353",26.56%
564,2023.02.06,카카오,"65,200","2,000",-2.98%,"2,276,799","-420,556","-225,847","118,088,506",26.51%
565,2023.02.07,카카오,"68,000","2,800",+4.29%,"3,026,310","+280,761","+42,159","118,127,509",26.52%
566,2023.02.08,카카오,"69,100","1,100",+1.62%,"3,109,216","+197,340","-352,588","117,974,921",26.49%
567,2023.02.09,카카오,"70,900","1,800",+2.60%,"3,602,387","+433,800","-140,891","117,834,030",26.45%
581,2023.02.01,삼성전자,"61,800",800,+1.31%,"18,570,133","-516,791","+62,860","3,005,826,373",50.35%
582,2023.02.02,삼성전자,"63,500","1,700",+2.75%,"23,285,983","-1,199,802","+5,119,433","3,011,043,701",50.44%
583,2023.02.03,삼성전자,"63,800",300,+0.47%,"15,194,598","-2,021,442","+3,805,110","3,014,053,481",50.49%
584,2023.02.06,삼성전자,"61,600","2,200",-3.45%,"15,529,356","-1,768,399","-2,275,019","3,011,898,262",50.45%
585,2023.02.07,삼성전자,"61,900",300,+0.49%,"14,491,039","-1,028,256","+563,336","3,012,802,298",50.47%
586,2023.02.08,삼성전자,"63,100","1,200",+1.94%,"12,243,125","-683,561","+2,989,063","3,015,974,361",50.52%
587,2023.02.09,삼성전자,"63,000",100,-0.16%,"12,164,865","-1,289,172","+1,553,218","3,017,760,979",50.55%
